geometry-div,renderer_name,pass_time_avg_ms,pass
120,DonutVisGBuffer,0.00938,visutil_flatten
120,DonutVisGBuffer,0.0079,visutil_histogram
120,DonutVisGBuffer,0.00192,visutil_prefix
128,DonutDeferredPrepass,0.00568,depth_prepass
128,DonutDeferredPrepass,0.00954,geometry
128,DonutDeferredPrepass,0.03057,lighting
128,DonutDeferredPrepass,0.00808,tonemap
128,DonutVisGBuffer,0.02258,gbuffer
128,DonutVisGBuffer,0.03035,lighting
128,DonutVisGBuffer,0.00797,tonemap
128,DonutVisGBuffer,0.00748,visibility
128,DonutVisGBuffer,0.00938,visutil_flatten
128,DonutVisGBuffer,0.0079,visutil_histogram
128,DonutVisGBuffer,0.00192,visutil_prefix
